abreviation,replace
AV,AVENUE
NO,NUMBER
NUM,NUMBER
PO,POST OFFICE
P.O,POST OFFICE
BLVD,BOULEVARD
LT,LOTE
MZ,MANZANA
CDMX,Ciudad de México
DF,Distrito Federal
AGU,Aguascalientes
BCN,Baja California
BCS,Baja California Sur
CAM,Campeche
CHP,Chiapas
CHH,Chihuahua
COA,Coahuila
CL,Colima
DUR,Durango
MEX,Estado de México
GTO,Guanajuato
GRO,Guerrero
HGO,Hidalgo
JAL,Jalisco
MIC,Michoacán
MOR,Morelos
NAY,Nayarit
NLE,Nuevo León
OAX,Oaxaca
PUE,Puebla
QRO,Querétaro
QR,Quintana Roo
SLP,San Luis Potosí
SIN,Sinaloa
SON,Sonora
TAB,Tabasco
TAM,Tamaulipas
TLAX,Tlaxcala
VER,Veracruz
YUC,Yucatán
ZAC,Zacatecas
CDMX,Ciudad de México
ARS,Aguascalientes	
AG,Aguascalientes	
B.C,Baja California
BC,Baja California
B.C.S,Baja California Sur
BCS,Baja California Sur
Camp,Campeche
CM,Campeche
Chis,Chiapas
CS,Chiapas
Chih,Chihuahua
CH,Chihuahua
Coah,Coahuila
CO,Coahuila
Col,Colima
CL,Colima
CDMX,Mexico City
DF,Mexico City
Dgo,Durango
DG,Durango
Gto,Guanajuato
GT,Guanajuato
Gro,Guerrero
GR,Guerrero
Hgo,Hidalgo
HG,Hidalgo
Jal,Jalisco
JA,Jalisco
Edomex,Mexico
MEX,Mexico
Mich,Michoacán
MI,Michoacán
Mor,Morelos
MO,Morelos
Nay,Nayarit
NA,Nayarit
N.L,Nuevo León
NL,Nuevo León
Oax,Oaxaca
OA,Oaxaca
Pue,Puebla
PU,Puebla
Qro,Querétaro
QT,Querétaro
Q.R,Quintana Roo
QR,Quintana Roo
S.L.P,San Luis Potosí
SL,San Luis Potosí
Sin,Sinaloa
SI,Sinaloa
Son,Sonora
SO,Sonora
Tab,Tabasco
TB,Tabasco
Tamps,Tamaulipas
TM,Tamaulipas
Tlax,Tlaxcala
TL,Tlaxcala
Ver,Veracruz
VE,Veracruz
Yuc,Yucatán
YU,Yucatán
Zac,Zacatecas
ZA,Zacatecas
